Artist_Nationality,century_label,count,percent
Mexican,11th c.,1.0,0.00026609686458064466
Mexican,12th c.,0.0,0.0
Mexican,13th c.,0.0,0.0
Mexican,14th c.,1.0,0.00026609686458064466
Mexican,15th c.,0.0,0.0
Mexican,16th c.,0.0,0.0
Mexican,17th c.,6.0,0.001596581187483868
Mexican,18th c.,14.0,0.0037253561041290253
Mexican,19th c.,584.0,0.1554005689150965
Mexican,20th c.,1234.0,0.3283635308925155
Mexican,21th c.,10.0,0.0026609686458064466
Netherlandish,10th c.,0.0,0.0
Netherlandish,11th c.,0.0,0.0
Netherlandish,12th c.,0.0,0.0
Netherlandish,13th c.,0.0,0.0
Netherlandish,14th c.,0.0,0.0
Netherlandish,15th c.,136.0,0.03618917358296767
Netherlandish,16th c.,4513.0,1.2008951498524494
Netherlandish,17th c.,1061.0,0.282328773320064
Netherlandish,18th c.,52.0,0.013837036958193522
Netherlandish,19th c.,16.0,0.004257549833290315
Netherlandish,20th c.,9.0,0.0023948717812258017
Netherlandish,21th c.,0.0,0.0
Spanish,10th c.,0.0,0.0
Spanish,11th c.,1.0,0.00026609686458064466
Spanish,12th c.,1.0,0.00026609686458064466
Spanish,13th c.,0.0,0.0
Spanish,14th c.,3.0,0.000798290593741934
Spanish,15th c.,50.0,0.013304843229032233
Spanish,16th c.,104.0,0.027674073916387043
Spanish,17th c.,244.0,0.0649276349576773
Spanish,18th c.,310.0,0.08249002801999984
Spanish,19th c.,834.0,0.22192478506025765
Spanish,20th c.,1174.0,0.3123977190176768
Spanish,21th c.,9.0,0.0023948717812258017
Unknown,10th c.,2012.0,0.535386891536257
Unknown,11th c.,1370.0,0.36455270447548316
Unknown,12th c.,2981.0,0.7932347533149018
Unknown,13th c.,2653.0,0.7059549817324502
Unknown,14th c.,3207.0,0.8533726447101274
Unknown,15th c.,4672.0,1.243204551320772
Unknown,16th c.,11132.0,2.962190296511736
Unknown,17th c.,11478.0,3.0542598116566393
Unknown,18th c.,30697.0,8.168375452032048
Unknown,19th c.,47820.0,12.724752064246427
Unknown,20th c.,24953.0,6.639915061880826
Unknown,21th c.,75.0,0.019957264843548348
